Graded Commit:806fdeb38a32f4a1033c2e9242ea3a55264aa0ed

TEST NAME, POINTS,OUT OF
sf_memsuite_grading/free_block_too_small,1,1,
sf_memsuite_grading/free_null,1,1,
sf_memsuite_grading/free_prev_alloc,1,1,
sf_memsuite_grading/free_unallocated,0,1,1 assertion(s) failed.: tests/grading_tests_p2.c:166: SIGABRT should have been received
sf_memsuite_grading/initialization,1,1,
sf_memsuite_grading/internal_fragmentation,0,1,"1 assertion(s) failed.: tests/grading_tests_p2.c:320: internal fragmentation_1 did not match (exp=0.928977, found=0.335041)"
sf_memsuite_grading/malloc_free_coalesce_both,1,1,
sf_memsuite_grading/malloc_free_coalesce_lower,1,1,
sf_memsuite_grading/malloc_free_coalesce_upper,1,1,
sf_memsuite_grading/malloc_free_first_block,1,1,
sf_memsuite_grading/malloc_free_last_block,1,1,
sf_memsuite_grading/malloc_free_lifo,1,1,
sf_memsuite_grading/malloc_free_no_coalesce,1,1,
sf_memsuite_grading/malloc_to_exhaustion,1,1,
sf_memsuite_grading/malloc_with_splinter,1,1,
sf_memsuite_grading/multiple_quick_lists,1,1,
sf_memsuite_grading/non_abort_test,1,1,
sf_memsuite_grading/peak_utilization,0,1,"1 assertion(s) failed.: tests/grading_tests_p2.c:287: peak utilization_1 did not match (exp=0.791016, found=0.498047)"
sf_memsuite_grading/quick_list_flush,0,1,"1 assertion(s) failed.: tests/__grading_helpers.c:203: Wrong number of quick list blocks (exp=1, found=6)"
sf_memsuite_grading/realloc_internal_fragmentation,0,1,"1 assertion(s) failed.: tests/grading_tests_p2.c:392: internal fragmentation did not match (exp=0.917500, found=0.023968)"
sf_memsuite_grading/realloc_larger,1,1,
sf_memsuite_grading/realloc_same,1,1,
sf_memsuite_grading/realloc_size_0,1,1,
sf_memsuite_grading/realloc_smaller,1,1,
sf_memsuite_grading/realloc_splinter,1,1,
sf_memsuite_grading/simple_quick_list,1,1,
sf_memsuite_grading/single_malloc_1,1,1,
sf_memsuite_grading/single_malloc_16,1,1,
sf_memsuite_grading/single_malloc_32,1,1,
sf_memsuite_grading/single_malloc_exactly_one_page_needed,1,1,
sf_memsuite_grading/single_malloc_max,1,1,
sf_memsuite_grading/single_malloc_more_than_one_page_needed,1,1,
sf_memsuite_grading/single_malloc_three_pages_needed,1,1,
sf_memsuite_grading/stress_test,0,1,1 assertion(s) failed.: tests/__grading_helpers.c:86: Prev allocated bit is not correctly set for 0x556b68ed4298. Should be: 0
sfmm_basecode_suite/free_coalesce,1,1,
sfmm_basecode_suite/free_no_coalesce,1,1,
sfmm_basecode_suite/free_quick,1,1,
sfmm_basecode_suite/freelist,1,1,
sfmm_basecode_suite/malloc_an_int,1,1,
sfmm_basecode_suite/malloc_four_pages,1,1,
sfmm_basecode_suite/malloc_too_large,1,1,
sfmm_basecode_suite/realloc_larger_block,1,1,
sfmm_basecode_suite/realloc_smaller_block_free_block,1,1,
sfmm_basecode_suite/realloc_smaller_block_splinter,1,1,
total,38,44extra_test1,0.6,0.6
extra_test2,0.6,0.6
extra_test3,0.6,0.6
extra_test4,0.6,0.6
extra_test5,0.6,0.6
